,name,location,edition,restaurant_url
0,Yacob's Kitchen,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/jakobs-kitchen-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP
1,Shake Shack – Burgers & Shakes,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/shake-shack-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP
2,Poke Shack,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/poke-shack-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP
3,Dishoom ,London,bsy-2-editions,https://deliveroo.co.uk/menu/London/bsy-2-editions/dishoom-editions-ber?day=today&geohash=gcpuyurpq8k1&time=ASAP
4,WING·STOP,London,bsy-2-editions,https://deliveroo.co.uk/menu/London/bsy-2-editions/wingstop-editions-ber?day=today&geohash=gcpuyurpq8k1&time=ASAP
5,Remedy Kitchen,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/remedy-kitchen-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP
6,Tao Tao Ju 陶陶居,London,bsy-2-editions,https://deliveroo.co.uk/menu/London/bsy-2-editions/tao-tao-ju-carlisle-lane?day=today&geohash=gcpuyurpq8k1&time=ASAP
7,Coqfighter ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/coqfighter-editions-dul?day=today&geohash=gcpuyurpq8k1&time=ASAP
8,Bronson's Burgers,London,south-bermondsey-area,https://deliveroo.co.uk/menu/London/south-bermondsey-area/bronsons-burgers-ormside-street?day=today&geohash=gcpuyurpq8k1&time=ASAP
9,Jude's Ice Cream,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/judes-ice-cream-editions-sur?day=today&geohash=gcpuyurpq8k1&time=ASAP
10,Trip CBD Store ,London,south-bermondsey-area,https://deliveroo.co.uk/menu/London/south-bermondsey-area/trip-cbd-store-peckham?day=today&geohash=gcpuyurpq8k1&time=ASAP
11,Zing Zing ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/zing-zing-editions-dul?geohash=gcpuyurpq8k1
12,Popeyes Louisiana Kitchen,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/popeyes-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
13,The Salad Project ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/the-salad-project-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
14,Bleecker Burger,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/bleecker-editions-bqr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
15,Hare & Tortoise,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/hare-and-tortoise-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
16,Dishoom ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/dishoom-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
17,Yacob's Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/jakobs-kitchen-editions-byr-new?day=today&geohash=gcpuu3ywj8vv&time=ASAP
18,Maroush,London,queenstown-road,https://deliveroo.co.uk/menu/London/queenstown-road/maroush-battersea?day=today&geohash=gcpuu3ywj8vv&time=ASAP
19,Tao Tao Ju 陶陶居 ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/tao-tao-ju-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
20,Poke House 🐠,London,nine-elms,https://deliveroo.co.uk/menu/London/nine-elms/ahi-poke-editions-cla?day=today&geohash=gcpuu3ywj8vv&time=ASAP
21,Marlowe's Burgers & Fries,London,queenstown-road,https://deliveroo.co.uk/menu/London/queenstown-road/marlowes-editions-bqr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
22,Motu Indian Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/motu-indian-kitchen?day=today&geohash=gcpuu3ywj8vv&time=ASAP
23,Banh Banh Vietnamese Kitchen,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/banh-banh-editions-wnw?day=today&geohash=gcpuu3ywj8vv&time=ASAP
24,The Sushi Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/the-sushi-kitchen?day=today&geohash=gcpuu3ywj8vv&time=ASAP
25,Jude's Ice Cream,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/judes-ice-cream-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
26,Mindful Chef,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/mindful-chef-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
27,Ben & Jerry's Store (Editions Battersea),London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/ben-and-jerrys-store-editions-cla?day=today&geohash=gcpuu3ywj8vv&time=ASAP
28,TRIP CBD Store,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/trip-cbd-store-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
29,Remeo Gelato,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/remeo-gelato-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
30,The Poke Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/the-poke-kitchen?day=today&geohash=gcpuu3ywj8vv&time=ASAP
31,Yuma Sushi,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/yuma-sushi-editions-wan?day=today&geohash=gcpuu3ywj8vv&time=1645
32,Tao Village Dim Sum,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/tao-village-dim-sum-editions-byr?geohash=gcpuu3ywj8vv
33,Forketta,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/barilla-editions-byr?geohash=gcpuu3ywj8vv
34,CANNACOFFEE Store,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/hashtag-editions-byr?geohash=gcpuu3ywj8vv
35,YUN Bento,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/yun-bento-editions-byr?geohash=gcpuu3ywj8vv
36,Popeyes Louisiana Kitchen,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/popeyes-editions-dul?day=today&geohash=gcpuwvtr0mk9&time=ASAP
37,Dishoom ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/dishoom-editions-dul?day=today&geohash=gcpuwvtr0mk9&time=ASAP
38,Bleecker Burger,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/bleecker-editions-bsy?day=today&geohash=gcpuwvtr0mk9&time=1630
39,Popeyes Louisiana Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/popeyes-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
40,Yacob's Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/jakobs-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
41,Dishoom,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/dishoom-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
42,Remedy Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remedy-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
43,So Noodle - 一汤一粉,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/shu-la-la-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
44,Hare & Tortoise ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/hare-and-tortoise-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
45,🌴 Poke Shack - Whitechapel🌴 ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/poke-shack-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
46,Tao Tao Ju 陶陶居 ,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/tao-tao-ju-editions-can?day=today&geohash=gcpvpqp8znt2&time=ASAP
47,Bronson’s Burgers,London,canary-wharf,https://deliveroo.co.uk/menu/London/canary-wharf/bronsons-burgers-canary-wharf?day=today&geohash=gcpvpqp8znt2&time=ASAP
48,Motu Indian Kitchen,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/motu-indian-kitchen-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
49,WING·STOP,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/wingstop-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
50,Zzetta - Soul Fired Pizza,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/zzettta-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
51,TRIP CBD Store,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/trip-cbd-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
52,Remeo Gelato,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remeo-gelato-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
53,Patri Artisan Street Food and Drinks,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/chai-naasto-hammersmith?day=today&geohash=gcpvpqp8znt2&time=ASAP
54,Biryaniwalla,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/biryaniwalla?day=today&geohash=gcpvpqp8znt2&time=ASAP
55,Ice Cream Store (Editions Whitechapel),London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/ics-editions-wme-new?day=today&geohash=gcpvpqp8znt2&time=ASAP
56,Jude's Ice Cream,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/judes-ice-cream-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
57,Rice Bowl Company,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/rum-and-rice-hammersmith-grove?day=today&geohash=gcpvpqp8znt2&time=ASAP
58,Ben & Jerry's Store (Editions Whitechapel),London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/ben-and-jerrys-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
59,Ice Cream Store (Editions Canning Town),London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/ics-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
60,Mama Li ,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/mama-li-express?day=tomorrow&geohash=gcpvpqp8znt2&time=1230
61,YUN Restaurant 云南正宗过桥米线,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/yun-editions-blw?geohash=gcpvpqp8znt2
