,name,location,edition,restaurant_url
0,Yacob's Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/jakobs-kitchen-editions-byr-new?day=today&geohash=gcpugcwkyb25&time=ASAP
1,Remedy Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/remedy-kitchen-editions-byr?day=today&geohash=gcpugcwkyb25&time=ASAP
2,Bleecker Burger,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/bleecker-editions-bqr?day=today&geohash=gcpugcwkyb25&time=1130
3,Popeyes Louisiana Kitchen,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/popeyes-editions-bcp?day=today&geohash=gcpugcwkyb25&time=1130
4,Dishoom,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/dishoom-editions-wnw?day=today&geohash=gcpugcwkyb25&time=1230
5,Hare & Tortoise,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/hare-and-tortoise-editions-bcp?day=today&geohash=gcpugcwkyb25&time=1230
6,Tao Tao Ju 陶陶居 ,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/tao-tao-ju-editions-wnw?day=today&geohash=gcpugcwkyb25&time=1230
7,The Salad Project ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/the-salad-project-editions-bcp?day=today&geohash=gcpugcwkyb25&time=1130
8,Maroush,London,queenstown-road,https://deliveroo.co.uk/menu/London/queenstown-road/maroush-battersea?day=today&geohash=gcpugcwkyb25&time=1230
9,Motu Indian Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/motu-indian-kitchen?day=today&geohash=gcpugcwkyb25&time=1215
10,Zing Zing,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/zing-zing-editions-wnw?day=today&geohash=gcpugcwkyb25&time=1730
11,Marlowe's Burgers & Fries,London,queenstown-road,https://deliveroo.co.uk/menu/London/queenstown-road/marlowes-editions-bqr?day=today&geohash=gcpugcwkyb25&time=1230
12,Poke House 🐠,London,nine-elms,https://deliveroo.co.uk/menu/London/nine-elms/ahi-poke-editions-cla?day=today&geohash=gcpugcwkyb25&time=1130
13,Yuma Sushi,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/yuma-sushi-editions-wan?day=today&geohash=gcpugcwkyb25&time=1630
14,The Sushi Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/the-sushi-kitchen?day=today&geohash=gcpugcwkyb25&time=1215
15,Rajah Rowing Indian Kitchen,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/rajah-rowing-editions-wnw?day=today&geohash=gcpugcwkyb25&time=1630
16,TRIP CBD Store,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/trip-cbd-store-editions-byr?day=today&geohash=gcpugcwkyb25&time=1145
17,Ben & Jerry's Store (Editions Battersea),London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/ben-and-jerrys-store-editions-cla?day=today&geohash=gcpugcwkyb25&time=1145
18,Jude's Ice Cream,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/judes-ice-cream-bcp?day=today&geohash=gcpugcwkyb25&time=1130
19,Tao Village Dim Sum,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/tao-village-dim-sum-editions-byr?geohash=gcpugcwkyb25
20,Forketta,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/barilla-editions-byr?geohash=gcpugcwkyb25
21,CANNACOFFEE Store,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/hashtag-editions-byr?geohash=gcpugcwkyb25
22,YUN Bento,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/yun-bento-editions-byr?geohash=gcpugcwkyb25
