name,location,edition,restaurant_url
Popeyes Louisiana Kitchen,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/popeyes-editions-dul?day=today&geohash=gcpuwvtr0mk9&time=ASAP
Dishoom ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/dishoom-editions-dul?day=today&geohash=gcpuwvtr0mk9&time=ASAP
Bleecker Burger,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/bleecker-editions-bsy?day=today&geohash=gcpuwvtr0mk9&time=1630
Popeyes Louisiana Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/popeyes-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
Yacob's Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/jakobs-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
Dishoom,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/dishoom-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
Remedy Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remedy-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
So Noodle - 一汤一粉,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/shu-la-la-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
Hare & Tortoise ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/hare-and-tortoise-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
🌴 Poke Shack - Whitechapel🌴 ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/poke-shack-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
Tao Tao Ju 陶陶居 ,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/tao-tao-ju-editions-can?day=today&geohash=gcpvpqp8znt2&time=ASAP
Bronson’s Burgers,London,canary-wharf,https://deliveroo.co.uk/menu/London/canary-wharf/bronsons-burgers-canary-wharf?day=today&geohash=gcpvpqp8znt2&time=ASAP
Motu Indian Kitchen,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/motu-indian-kitchen-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
WING·STOP,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/wingstop-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
Zzetta - Soul Fired Pizza,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/zzettta-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
TRIP CBD Store,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/trip-cbd-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
Remeo Gelato,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remeo-gelato-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
Patri Artisan Street Food and Drinks,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/chai-naasto-hammersmith?day=today&geohash=gcpvpqp8znt2&time=ASAP
Biryaniwalla,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/biryaniwalla?day=today&geohash=gcpvpqp8znt2&time=ASAP
Ice Cream Store (Editions Whitechapel),London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/ics-editions-wme-new?day=today&geohash=gcpvpqp8znt2&time=ASAP
Jude's Ice Cream,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/judes-ice-cream-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
Rice Bowl Company,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/rum-and-rice-hammersmith-grove?day=today&geohash=gcpvpqp8znt2&time=ASAP
Ben & Jerry's Store (Editions Whitechapel),London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/ben-and-jerrys-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
Ice Cream Store (Editions Canning Town),London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/ics-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
Mama Li ,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/mama-li-express?day=tomorrow&geohash=gcpvpqp8znt2&time=1230
YUN Restaurant 云南正宗过桥米线,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/yun-editions-blw?geohash=gcpvpqp8znt2
YUN Bento 雲便當,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/yun-chinese-editions-blw-canary-wharf?geohash=gcpvpqp8znt2
Beer and Fried Chicken Co.,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/b-and-fried-chicken-co-editions-blw?geohash=gcpvpqp8znt2
Remedy Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/remedy-kitchen-editions-byr?day=today&geohash=gcpugcwkyb25&time=ASAP
Zing Zing,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/zing-zing-editions-wnw?day=today&geohash=gcpugcwkyb25&time=1745
Rajah Rowing Indian Kitchen,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/rajah-rowing-editions-wnw?day=today&geohash=gcpugcwkyb25&time=1645
Bronson's Burgers,London,south-norbury,https://deliveroo.co.uk/menu/London/south-norbury/bronsons-burgers-norbury?day=today&geohash=gcpumm6sc317&time=ASAP
TRIP CBD Store,London,beddington-east,https://deliveroo.co.uk/menu/London/beddington-east/trip-cbd-store-croydon?day=today&geohash=gcpumm6sc317&time=ASAP
Pho,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/pho-editions-dul?day=today&geohash=gcpumm6sc317&time=1645
WING·STOP,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/wingstop-wandsworth?day=today&geohash=gcpusu6unsdd&time=ASAP
Dishoom,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/dishoom-editions-wnw?day=today&geohash=gcpuemxvwjnx&time=ASAP
Tao Tao Ju 陶陶居 ,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/tao-tao-ju-editions-wnw?day=today&geohash=gcpuemxvwjnx&time=ASAP
Popeyes Louisiana Kitchen,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/popeyes-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP
Dishoom,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/dishoom-kings-cross?day=today&geohash=gcpv4ezcruym&time=ASAP
Kanada-Ya Ramen Bar,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/kanada-ya-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP
KKINI Korean Restaurant,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/kkini-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP
Remedy Kitchen,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/remedy-kitchen-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP
Tao Tao Ju ,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/tao-tao-ju-editions-acton?day=today&geohash=gcpv4ezcruym&time=ASAP
WING·STOP,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/wingstop-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP
Yacob's Kitchen ,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/jacobs-kitchen-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP
Rice Bowl Company,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/rum-and-rice?day=today&geohash=gcpv4ezcruym&time=ASAP
Bronson's Burgers ,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/bronsons-burgers-editions-brc?day=today&geohash=gcpv4ezcruym&time=ASAP
Patri Artisan Street Food and Drinks,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/patri-artisan-street-food-and-drinks?day=today&geohash=gcpv4ezcruym&time=ASAP
Mindful Chef,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/mindful-chef-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP
TRIP CBD Store,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/trip-cbd-store-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP
Biryaniwalla by Patri,London,hammersmith,https://deliveroo.co.uk/menu/London/hammersmith/biryaniwalla-ealing?day=today&geohash=gcpv4ezcruym&time=ASAP
Bleecker Burger,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/bleecker-editions-mv?day=today&geohash=gcpv4ezcruym&time=1615
Tao Tao Ju 陶陶居 ,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/tao-tao-ju-editions-brc?day=today&geohash=gcpv4ezcruym&time=1745
YUN Bento,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/yun-bento-editions-mdv?geohash=gcpv4ezcruym
Tao Village Dim Sum,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/tao-village-dim-sum-editions-mdv?geohash=gcpv4ezcruym
Dishoom,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/dishoom-editions-isl?day=today&geohash=gcpvjrhmqd3y&time=ASAP
Bronson's Burgers,London,kentish-town,https://deliveroo.co.uk/menu/London/kentish-town/bronsons-burgers-kentish-town?day=today&geohash=gcpvjrhmqd3y&time=ASAP
Poke Shack,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/poke-shack-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=ASAP
Tao Tao Ju 陶陶居 ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/tao-tao-ju-editions-whi?day=today&geohash=gcpvjrhmqd3y&time=ASAP
Maroush,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/maroush-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=ASAP
Ben & Jerry's Store,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/ben-and-jerrys-store-editions-isl?day=today&geohash=gcpvjrhmqd3y&time=ASAP
Mindful Chef,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/mindful-chef-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=ASAP
Jude's Ice Cream,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/judes-ice-cream-editions-wme-new?day=today&geohash=gcpvjrhmqd3y&time=ASAP
Pho,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/pho-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=1645
Motu Indian Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/motu-editions-wme?day=today&geohash=gcpvjrhmqd3y&time=1745
Dishoom,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/dishoom-shoreditch?day=today&geohash=gcpvnffqn934&time=ASAP
🌴 Poke Shack 🌴,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/the-poke-shack-editions-act?day=today&geohash=gcpv4073pfnr&time=ASAP
Dishoom,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/dishoom-editions-act?day=today&geohash=gcpv4073pfnr&time=ASAP
Mindful Chef,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/mindful-chef-editions-act?day=today&geohash=gcpv4073pfnr&time=ASAP
Pizza Paradiso ,London,swiss-cottage,https://deliveroo.co.uk/menu/London/swiss-cottage/pizza-paradiso-new-college-parade?geohash=gcpvhp0bd462
Jude's Ice Cream,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/judes-ice-cream-editions-isl?geohash=gcpvhvg8xzt0
The Good Earth,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/the-good-earth-editions-bel?geohash=gcpv4dretwn2
WING·STOP,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/wingstop-editions-brc?day=today&geohash=gcpv6ed34vp4&time=ASAP
Mindful Chef ,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/mindful-chef-editions-brc?day=today&geohash=gcpv6ed34vp4&time=ASAP
TRIP CBD Store,London,west-hendon,https://deliveroo.co.uk/menu/London/west-hendon/trip-cbd-store-colindale?day=today&geohash=gcpv6ed34vp4&time=ASAP
Poke Fuzion,Wigan,sankey,https://deliveroo.co.uk/menu/Wigan/sankey/poke-fuzion-warrington?day=today&geohash=gcqpexr9thzp&time=ASAP
