,name,location,edition,restaurant_url,address
41,Dishoom,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/dishoom-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Unit 3&4, Galaxy, Crescent Court Business Centre, Canning Town, London, E164TG"
42,Remedy Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remedy-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT"
43,So Noodle - 一汤一粉,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/shu-la-la-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT"
44,Hare & Tortoise ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/hare-and-tortoise-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT"
45,🌴 Poke Shack - Whitechapel🌴 ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/poke-shack-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP,"61 Assembly Passage, London, E14UT"
46,Tao Tao Ju 陶陶居 ,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/tao-tao-ju-editions-can?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Unit 3&4, Galaxy, Crescent Court Business Centre, London, E164TG"
47,Bronson’s Burgers,London,canary-wharf,https://deliveroo.co.uk/menu/London/canary-wharf/bronsons-burgers-canary-wharf?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Kitchen 1, Jacuna Kitchens, 105 Cannon Drive, London, E144AS"
48,Motu Indian Kitchen,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/motu-indian-kitchen-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Prestage Way Car Park, Editions, Blackwall, London, E149QE"
49,WING·STOP,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/wingstop-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Unit 3&4, Galaxy, Crescent Court Business Centre, Canning Town, London, E164TG"
50,Zzetta - Soul Fired Pizza,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/zzettta-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT"
51,TRIP CBD Store,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/trip-cbd-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP,"61 Assembly Passage, Whitechapel, London, E14UT"
52,Remeo Gelato,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remeo-gelato-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, Whitechapel, London, E14UT"
53,Patri Artisan Street Food and Drinks,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/chai-naasto-hammersmith?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Unit 4, 149 Roman Way, London, London, N78XH"
54,Biryaniwalla,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/biryaniwalla?day=today&geohash=gcpvpqp8znt2&time=ASAP,"149 Roman Way, Unit 4,, London, N78XH"
55,Ice Cream Store (Editions Whitechapel),London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/ics-editions-wme-new?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Deliveroo Editions, 10 Assembly Passage, London, E14UT"
